,game_id,game_title,video_name,yt_views,yt_likes,yt_comments,yt_thumbnail,video_url,pub_date
101,1691616425,[ code] my hero mania,How to Teach Yourself Scripting on Roblox (2020),409933,13820,2687,https://i.ytimg.com/vi/jngKJLcTSZ4/default.jpg,https://www.youtube.com/watch?v=jngKJLcTSZ4,2020-02-11
80,943733974,  week iv     bitcoin miner [beta],How to Teach Yourself Scripting on Roblox (2020),409933,13820,2687,https://i.ytimg.com/vi/jngKJLcTSZ4/default.jpg,https://www.youtube.com/watch?v=jngKJLcTSZ4,2020-02-11
63,1349383199,tank simulator,How to Teach Yourself Scripting on Roblox (2020),409933,13820,2687,https://i.ytimg.com/vi/jngKJLcTSZ4/default.jpg,https://www.youtube.com/watch?v=jngKJLcTSZ4,2020-02-11
38,2577800301,  weight lifting simulator,How to Teach Yourself Scripting on Roblox (2020),409933,13820,2687,https://i.ytimg.com/vi/jngKJLcTSZ4/default.jpg,https://www.youtube.com/watch?v=jngKJLcTSZ4,2020-02-11
152,2455935718,food magnet simulator,How to Teach Yourself Scripting on Roblox (2020),409933,13820,2687,https://i.ytimg.com/vi/jngKJLcTSZ4/default.jpg,https://www.youtube.com/watch?v=jngKJLcTSZ4,2020-02-11
27,1278035280,warrior cats: ultimate edition,How to Teach Yourself Scripting on Roblox (2020),409933,13820,2687,https://i.ytimg.com/vi/jngKJLcTSZ4/default.jpg,https://www.youtube.com/watch?v=jngKJLcTSZ4,2020-02-11
32,1686885941,brookhaven  rp,How to Teach Yourself Scripting on Roblox (2020),409933,13820,2687,https://i.ytimg.com/vi/jngKJLcTSZ4/default.jpg,https://www.youtube.com/watch?v=jngKJLcTSZ4,2020-02-11
165,1778889084,military combat tycoon,How to Teach Yourself Scripting on Roblox (2020),409933,13820,2687,https://i.ytimg.com/vi/jngKJLcTSZ4/default.jpg,https://www.youtube.com/watch?v=jngKJLcTSZ4,2020-02-11
163,1663370770,[capoeira + flow] mighty omega,How to Teach Yourself Scripting on Roblox (2020),409933,13820,2687,https://i.ytimg.com/vi/jngKJLcTSZ4/default.jpg,https://www.youtube.com/watch?v=jngKJLcTSZ4,2020-02-11
56,1511883870,[update + 2x exp] shindo,How to Teach Yourself Scripting on Roblox (2020),409933,13820,2687,https://i.ytimg.com/vi/jngKJLcTSZ4/default.jpg,https://www.youtube.com/watch?v=jngKJLcTSZ4,2020-02-11
42,2033913602,mall tycoon,How to Teach Yourself Scripting on Roblox (2020),409933,13820,2687,https://i.ytimg.com/vi/jngKJLcTSZ4/default.jpg,https://www.youtube.com/watch?v=jngKJLcTSZ4,2020-02-11
157,383310974,adopt me!,How to Teach Yourself Scripting on Roblox (2020),409933,13820,2687,https://i.ytimg.com/vi/jngKJLcTSZ4/default.jpg,https://www.youtube.com/watch?v=jngKJLcTSZ4,2020-02-11
49,111958650,arsenal,How to Teach Yourself Scripting on Roblox (2020),409933,13820,2687,https://i.ytimg.com/vi/jngKJLcTSZ4/default.jpg,https://www.youtube.com/watch?v=jngKJLcTSZ4,2020-02-11
0,994732206,[update 14] blox fruits,How to Teach Yourself Scripting on Roblox (2020),409933,13820,2687,https://i.ytimg.com/vi/jngKJLcTSZ4/default.jpg,https://www.youtube.com/watch?v=jngKJLcTSZ4,2020-02-11
106,2459807845,friday night funk roleplay (fnf),How to Teach Yourself Scripting on Roblox (2020),409933,13820,2687,https://i.ytimg.com/vi/jngKJLcTSZ4/default.jpg,https://www.youtube.com/watch?v=jngKJLcTSZ4,2020-02-11
54,985731078,world // zero,How to Teach Yourself Scripting on Roblox (2020),409933,13820,2687,https://i.ytimg.com/vi/jngKJLcTSZ4/default.jpg,https://www.youtube.com/watch?v=jngKJLcTSZ4,2020-02-11
14,88070565,welcome to bloxburg,How PRO DEVELOPERS learned to script....,186504,9705,1023,https://i.ytimg.com/vi/fivk8yp-VT4/default.jpg,https://www.youtube.com/watch?v=fivk8yp-VT4,2021-01-23
39,2577800301,  weight lifting simulator,How PRO DEVELOPERS learned to script....,186504,9705,1023,https://i.ytimg.com/vi/fivk8yp-VT4/default.jpg,https://www.youtube.com/watch?v=fivk8yp-VT4,2021-01-23
109,2459807845,friday night funk roleplay (fnf),How PRO DEVELOPERS learned to script....,186504,9705,1023,https://i.ytimg.com/vi/fivk8yp-VT4/default.jpg,https://www.youtube.com/watch?v=fivk8yp-VT4,2021-01-23
24,1934249057,tropical resort tycoon  ,How PRO DEVELOPERS learned to script....,186504,9705,1023,https://i.ytimg.com/vi/fivk8yp-VT4/default.jpg,https://www.youtube.com/watch?v=fivk8yp-VT4,2021-01-23
174,2253490805,get a snack at 4 am,How PRO DEVELOPERS learned to script....,186504,9705,1023,https://i.ytimg.com/vi/fivk8yp-VT4/default.jpg,https://www.youtube.com/watch?v=fivk8yp-VT4,2021-01-23
115,2492481398,noob army tycoon,How PRO DEVELOPERS learned to script....,186504,9705,1023,https://i.ytimg.com/vi/fivk8yp-VT4/default.jpg,https://www.youtube.com/watch?v=fivk8yp-VT4,2021-01-23
53,985731078,world // zero,How PRO DEVELOPERS learned to script....,186504,9705,1023,https://i.ytimg.com/vi/fivk8yp-VT4/default.jpg,https://www.youtube.com/watch?v=fivk8yp-VT4,2021-01-23
59,1511883870,[update + 2x exp] shindo,How PRO DEVELOPERS learned to script....,186504,9705,1023,https://i.ytimg.com/vi/fivk8yp-VT4/default.jpg,https://www.youtube.com/watch?v=fivk8yp-VT4,2021-01-23
43,2033913602,mall tycoon,How PRO DEVELOPERS learned to script....,186504,9705,1023,https://i.ytimg.com/vi/fivk8yp-VT4/default.jpg,https://www.youtube.com/watch?v=fivk8yp-VT4,2021-01-23
18,66654135,murder mystery 2,How Roblox Developers Learn to Script!,125066,5086,559,https://i.ytimg.com/vi/uPrE4lpTFCU/default.jpg,https://www.youtube.com/watch?v=uPrE4lpTFCU,2019-12-29
81,943733974,  week iv     bitcoin miner [beta],How Roblox Developers Learn to Script!,125066,5086,559,https://i.ytimg.com/vi/uPrE4lpTFCU/default.jpg,https://www.youtube.com/watch?v=uPrE4lpTFCU,2019-12-29
103,1691616425,[ code] my hero mania,How Roblox Developers Learn to Script!,125066,5086,559,https://i.ytimg.com/vi/uPrE4lpTFCU/default.jpg,https://www.youtube.com/watch?v=uPrE4lpTFCU,2019-12-29
67,2448558164,[ 20 hours!] lifting titans,How Roblox Developers Learn to Script!,125066,5086,559,https://i.ytimg.com/vi/uPrE4lpTFCU/default.jpg,https://www.youtube.com/watch?v=uPrE4lpTFCU,2019-12-29
23,1934249057,tropical resort tycoon  ,How Roblox Developers Learn to Script!,125066,5086,559,https://i.ytimg.com/vi/uPrE4lpTFCU/default.jpg,https://www.youtube.com/watch?v=uPrE4lpTFCU,2019-12-29
158,383310974,adopt me!,How Roblox Developers Learn to Script!,125066,5086,559,https://i.ytimg.com/vi/uPrE4lpTFCU/default.jpg,https://www.youtube.com/watch?v=uPrE4lpTFCU,2019-12-29
61,1349383199,tank simulator,How Roblox Developers Learn to Script!,125066,5086,559,https://i.ytimg.com/vi/uPrE4lpTFCU/default.jpg,https://www.youtube.com/watch?v=uPrE4lpTFCU,2019-12-29
28,1278035280,warrior cats: ultimate edition,How Roblox Developers Learn to Script!,125066,5086,559,https://i.ytimg.com/vi/uPrE4lpTFCU/default.jpg,https://www.youtube.com/watch?v=uPrE4lpTFCU,2019-12-29
96,2387288336,[read desc pls] basically fnf,How Roblox Developers Learn to Script!,125066,5086,559,https://i.ytimg.com/vi/uPrE4lpTFCU/default.jpg,https://www.youtube.com/watch?v=uPrE4lpTFCU,2019-12-29
4,994732206,[update 14] blox fruits,How Roblox Developers Learn to Script!,125066,5086,559,https://i.ytimg.com/vi/uPrE4lpTFCU/default.jpg,https://www.youtube.com/watch?v=uPrE4lpTFCU,2019-12-29
114,2400226697,horror factory tycoon,How Roblox Developers Learn to Script!,125066,5086,559,https://i.ytimg.com/vi/uPrE4lpTFCU/default.jpg,https://www.youtube.com/watch?v=uPrE4lpTFCU,2019-12-29
149,1348402608,season 4  anime fighting simulator,How Roblox Developers Learn to Script!,125066,5086,559,https://i.ytimg.com/vi/uPrE4lpTFCU/default.jpg,https://www.youtube.com/watch?v=uPrE4lpTFCU,2019-12-29
167,1778889084,military combat tycoon,How Roblox Developers Learn to Script!,125066,5086,559,https://i.ytimg.com/vi/uPrE4lpTFCU/default.jpg,https://www.youtube.com/watch?v=uPrE4lpTFCU,2019-12-29
6,2383988292,[world28]   beeface: be a bee!,How Roblox Developers Learn to Script!,125066,5086,559,https://i.ytimg.com/vi/uPrE4lpTFCU/default.jpg,https://www.youtube.com/watch?v=uPrE4lpTFCU,2019-12-29
143,918677693,[updated peace treaties] rise of nations,How Roblox Developers Learn to Script!,125066,5086,559,https://i.ytimg.com/vi/uPrE4lpTFCU/default.jpg,https://www.youtube.com/watch?v=uPrE4lpTFCU,2019-12-29
33,1686885941,brookhaven  rp,How Roblox Developers Learn to Script!,125066,5086,559,https://i.ytimg.com/vi/uPrE4lpTFCU/default.jpg,https://www.youtube.com/watch?v=uPrE4lpTFCU,2019-12-29
13,88070565,welcome to bloxburg,How Roblox Developers Learn to Script!,125066,5086,559,https://i.ytimg.com/vi/uPrE4lpTFCU/default.jpg,https://www.youtube.com/watch?v=uPrE4lpTFCU,2019-12-29
164,1663370770,[capoeira + flow] mighty omega,How Roblox Developers Learn to Script!,125066,5086,559,https://i.ytimg.com/vi/uPrE4lpTFCU/default.jpg,https://www.youtube.com/watch?v=uPrE4lpTFCU,2019-12-29
124,1016936714,new update your bizarre adventure,How Roblox Developers Learn to Script!,125066,5086,559,https://i.ytimg.com/vi/uPrE4lpTFCU/default.jpg,https://www.youtube.com/watch?v=uPrE4lpTFCU,2019-12-29
126,1613532065,blox life!  ,How Roblox Developers Learn to Script!,125066,5086,559,https://i.ytimg.com/vi/uPrE4lpTFCU/default.jpg,https://www.youtube.com/watch?v=uPrE4lpTFCU,2019-12-29
78,1720936166,all star tower defense,How Roblox Developers Learn to Script!,125066,5086,559,https://i.ytimg.com/vi/uPrE4lpTFCU/default.jpg,https://www.youtube.com/watch?v=uPrE4lpTFCU,2019-12-29
129,1613532065,blox life!  ,The Ultimate Roblox Lua Scripting Guide,116498,3177,631,https://i.ytimg.com/vi/NLwYJY8KSgc/default.jpg,https://www.youtube.com/watch?v=NLwYJY8KSgc,2017-07-02
173,2253490805,get a snack at 4 am,The Ultimate Roblox Lua Scripting Guide,116498,3177,631,https://i.ytimg.com/vi/NLwYJY8KSgc/default.jpg,https://www.youtube.com/watch?v=NLwYJY8KSgc,2017-07-02
139,2439513265,dream island  tycoon,The Ultimate Roblox Lua Scripting Guide,116498,3177,631,https://i.ytimg.com/vi/NLwYJY8KSgc/default.jpg,https://www.youtube.com/watch?v=NLwYJY8KSgc,2017-07-02
